id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url
1467457712313155586,1.2770484571868324e+18,@jfarxsq butuh liburan,2021-12-05T11:35:57.000Z,1127807019409260544,0,0,0,0,1.4672830214892623e+18,replied_to,,,,,,,,,0.0,8.0,jfarxsq,1.2770484571868324e+18,,,,,,,
1467455808115908610,1.0460840087428014e+18,"@collegemenfess Gak tau nder, tapi ku butuh liburan buat rebahan stress tugas 😭",2021-12-05T11:28:23.000Z,1247663149689344001,0,0,0,0,1.4674470521246515e+18,replied_to,,,,,,,,,0.0,15.0,collegemenfess,1.0460840087428014e+18,,,,,,,
1467455761215156226,,Sepertinya ku butuh liburan😶 https://t.co/yt4tkShPEC,2021-12-05T11:28:12.000Z,3114176281,0,0,1,0,,,,,,29.0,52.0,https://t.co/yt4tkShPEC,https://twitter.com/08Wahda/status/1467455761215156226/photo/1,pic.twitter.com/yt4tkShPEC,,,,,,,,,,,
1467455303268507650,1.201673806156161e+18,"@schfess Emg guru ngacak2nya gimana? Kita semua gamau gini loh. Yg nggak libur bukan cuman siswa. Gurunya juga nggak libur. Kita semua butuh liburan. Kmren pas belajar daring siswa belajar di rumah, guru tetep wajib masuk. Serius cape bgt.",2021-12-05T11:26:22.000Z,1290615697928667136,11,5,87,8,1.4673418730354196e+18,replied_to,,,,,,,,,0.0,8.0,schfess,1.201673806156161e+18,,,,,,,
1467454964163219457,1.201673806156161e+18,"@schfess Ya Allah pak/bu kita tuh butuh liburan seenggaknya seminggu lah cukup apalagi yang kelas 12 kayak saya tuh butuh banget. mental, fisik, batin perlu istirahat semua sebelum ngadepin namanya ujian, tryout, dll",2021-12-05T11:25:02.000Z,1009243009265778689,0,0,0,0,1.4673418730354196e+18,replied_to,,,,,,,,,0.0,8.0,schfess,1.201673806156161e+18,,,,,,,
1467454786664484870,1.0460840087428014e+18,@collegemenfess Padahal liburan tuh nggak cuma jalan-jalan doang. Manusia tipe mageran sepertiku juga butuh liburan biar bisa rebahan sepuasnya 😭,2021-12-05T11:24:19.000Z,3218766038,0,0,0,0,1.4674470521246515e+18,replied_to,,,,,,,,,0.0,15.0,collegemenfess,1.0460840087428014e+18,,,,,,,
1467453524258684930,,"capek bgt ga si? padahal liburan tahun ini liburan terakhir kelas 12 :((
eh tp jatim blm ada pengumuman tentang liburan semester tp keknya ... tau dehh bikin sebel aja, gatau apa siswa juga butuh healing juga ga adil bgt! https://t.co/0hzIoTTtr0",2021-12-05T11:19:18.000Z,1358027275376054272,0,0,1,0,1.4674470521246515e+18,quoted,,,,222.0,245.0,https://t.co/0hzIoTTtr0,https://twitter.com/collegemenfess/status/1467447052124651523,twitter.com/collegemenfess…,,,,,,,,,,,
1467453029167230977,,"Astagfirullah, bu guru juga cape kan, jujur??? Butuh liburan kan ya??? Samaaa makannya yuk libur aja yukk 😭 siswa ama guru cape ini ngikutin aturan yg kadang kurang jelas -_ https://t.co/QWGz3CXljO",2021-12-05T11:17:20.000Z,1132262718419873792,0,0,0,0,1.4674470521246515e+18,quoted,,,,174.0,197.0,https://t.co/QWGz3CXljO,https://twitter.com/collegemenfess/status/1467447052124651523,twitter.com/collegemenfess…,,,,,,,,,,,
1467451333435281408,8.155124208440607e+17,@deternalyoon @collegemenfess Sama kita😩 bete bgt kalo beneran kek gitu soalnya ak butuh liburan hiks,2021-12-05T11:10:36.000Z,1308630597288427520,0,1,0,0,1.4674498554758144e+18,replied_to,,,,,,,,,14.0,29.0,collegemenfess,1.0460840087428014e+18,,,,,,,
1467449517142253570,1.3593057929570222e+18,"@jjenndevil @collegemenfess itu kak dalihnya utk menekan angka cvd krn libur akan memicu orang utk liburan ke luar kota, tmpt wisata dsb. klo kayak gini hrusnya dibatasi masuk tmpt wisatanya / pelarangan berpergian kalo gak genting bkn mlh gaada libur ya manusia kn butuh istirahat, nnti stress gmau nanggung",2021-12-05T11:03:23.000Z,815512420844060672,0,0,1,0,1.4674479921142374e+18,replied_to,,,,,,,,,12.0,27.0,collegemenfess,1.0460840087428014e+18,,,,,,,
1467448202102452224,,pusing dg aktivitas segudang? butuh liburan? Hubungi Gemurai Tour &amp; Travel 0811 98 330 39 (#iqbalseptari),2021-12-05T10:58:09.000Z,410168277,0,0,0,0,,,95.0,108.0,iqbalseptari,,,,,,,,,,,,,,,,
1467447206269521920,406925838.0,"@obviousnesses [ LINE to Gabriel ] 

: Kabar baik. 
: Butuh liburan. 
: Tapi mager",2021-12-05T10:54:12.000Z,1229434299918635008,0,1,0,0,1.4673903813732844e+18,replied_to,,,,,,,,,0.0,14.0,obviousnesses,406925838.0,,,,,,,
1467445845121404931,1.2873675933013893e+18,@lil_moeanaa butuh liburan,2021-12-05T10:48:47.000Z,1437459334414225410,0,1,0,0,1.467443627026575e+18,replied_to,,,,,,,,,,,,,,,,,,,
1467442625770778627,,Andin di buat diculik pasti di nistain lagi. Tapi gimana lagi yg punya raga butuh liburan,2021-12-05T10:36:00.000Z,1351540421705383936,0,1,4,0,,,,,,,,,,,,,,,,,,,,,
1467442266159472640,274895088.0,"@lps_idic Mulai merasakan min, sebelum pandemi baru labiran jadi di rumah aja. Pandemi di rumah terus sampai sekarang anak 2 tahun belum ada jalan2, butuh banget liburan buat refreshing..",2021-12-05T10:34:34.000Z,101993095,0,0,0,0,1.46740261296205e+18,replied_to,,,,,,,,,0.0,9.0,lps_idic,274895088.0,,,,,,,
1467441210415476738,,"Selamat Sore  Gunungsitoli ,
Weekend merupakan momen yang tepat untuk liburan dan melepaskan penat pekerjaan dan kehidupan.

Butuh Kode Referral Shopee? Gunakan kode : ISIPU223

Yudi",2021-12-05T10:30:22.000Z,1247789446713339905,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467434657775964167,,Butuh liburan yang bisa bikin ketawa lepas,2021-12-05T10:04:20.000Z,1137285685755310080,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
