id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url,entities/cashtags/0/entities/start,entities/cashtags/0/entities/end,entities/cashtags/0/entities/tag
1468128947741224964,,kek pling menguasai dunia aj,2021-12-07T08:03:12.000Z,1344316790566862849,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468121216913346561,,"Sesuai dengan goal foundernya untuk menguasai dunia, maka disini kami mengajak siapa saja yang mau bergabung ke sindikat kami 😎
Semua posisi di link ini terbuka jadi jangan segan-segan untuk memasukkan CV teman-teman 👌

https://t.co/ksttEO6lKL

@yusufgunawan @infomalang",2021-12-07T07:32:29.000Z,265864247,2,0,2,2,,,220.0,243.0,https://t.co/ksttEO6lKL,https://algostudio.net/career/,algostudio.net/career/,259.0,270.0,infomalang,107412668.0,,,,,,,,,,,,,
1468115584193728512,1.0977824153244017e+18,"@TaufikI70348691 Bodohnya dirimu kok seneng nya perang,  orang ROSULULLAH dalam menyampaikan wayu ALLAH SWT  saja menghentikan perang,  dan dengan cara diskusi islam bisa menguasai dunia kok.  Belajar kok perang bukan nya cinta kasih nya ROSULULLAH SAW.",2021-12-07T07:10:06.000Z,918337925602975744,0,1,0,0,1.4681149973351014e+18,replied_to,,,,,,0.0,16.0,TaufikI70348691,1.0977824153244017e+18,,,,,,,,,,,,,
1468108274067128320,1.222024629511811e+18,"@S_AshelJKT48 Aku ga butuh pelukan
Aku butuh kekuatan untuk menguasai dunia 👍",2021-12-07T06:41:03.000Z,1366411742,0,0,0,0,1.468106788817965e+18,replied_to,,,,,,0.0,13.0,S_AshelJKT48,1.222024629511811e+18,,,,,,,,,,,,,
1468107701452705795,,"""Di dunia ini hanya ada 2 jenis orang, yaitu yg mempunyai kekuatan untuk menguasai dan yg dikuasai."" (Jinsuke ~ gamaran)",2021-12-07T06:38:46.000Z,1627461912,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468103018675847168,,23. Inggris yang sangat bernafsu menguasai dunia saat itu | memulai menyusup ke negeri-negeri Muslim untuk memisahkannya dari Utsmani,2021-12-07T06:20:10.000Z,111290447,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468093236484837381,1.2438044230017638e+18,"@democrazymedia Mengusir penjajah konteksnya sudah ada dalam pembukaan UUD 1945, bahwa, penjajahan di atas dunia harus dihapuskan karena tidak sesuai dengan perikemanusiaan dan perikeadilan

Kalau penjajah menguasai SDA sedangkan masyarakat cuma jadi jo gos pekerja saja manfaatnya apa coba?",2021-12-07T05:41:18.000Z,1175967939633135616,0,0,0,0,1.4677204576295483e+18,replied_to,,,,,,0.0,15.0,democrazymedia,1.2438044230017638e+18,,,,,,,,,,,,,
1468089346439860224,1.3247182879853404e+18,"@AGrychela Kejahatan sejenis Klithih juga mulai menjamur di luar Jogja. Terutama di kawasan yang masih cukup ramai di malam hari. Ini kalo diibaratin tuh kayak organisasi penguasa dunia malam. Cuma mereka yang boleh menguasai jalan saat malam, syarat masuknya ke kelompok itu ya ngebacok ...",2021-12-07T05:25:50.000Z,1406588294226350081,0,1,0,0,1.46781117197355e+18,replied_to,,,,,,0.0,10.0,AGrychela,1.3247182879853404e+18,,,,,,,,,,,,,
1468081763402407938,1282573556.0,"@DekyHalfsane @seterahdeh Aku cuma follow taehyung sama RM aja wkwk, langsung masuk berita dong si taehyung break record 10M followers dlm sehari, dibilangin juga army tuh udah menguasai dunia ky",2021-12-07T04:55:42.000Z,99713732,0,0,1,0,1.4680810779819087e+18,replied_to,,,,,,14.0,25.0,seterahdeh,322172298.0,,,,,,,,,,,,,
1468069902560817153,1.1091331631821946e+18,"Pertempuran Tanah Melayu adalah pertempuran pertama yang meletus dalam Kempen Asia Pasifik ketika Perang Dunia ke-2 antara Jepun dengan Amerika, British dan sekutu.

Menguasai laluan perkapalan dan jaringan bekalan adalah objektif utama serangan ini. https://t.co/mxSrzPwoYw",2021-12-07T04:08:34.000Z,1109133163182194688,5,1,16,0,1.4680698920541553e+18,replied_to,251.0,274.0,https://t.co/mxSrzPwoYw,https://twitter.com/ellmartt8888/status/1468069902560817153/photo/1,pic.twitter.com/mxSrzPwoYw,,,,,,,,,,,,,,,,,
1468065327892156417,1.27919141017285e+18,@Daud19761 @Mdy_Asmara1701 SEBUTKAN NEGARA ISLAM YANG MENGUASAI TEHNOLOGI dan EKONOMI DUNIA.,2021-12-07T03:50:24.000Z,1452138305110167559,0,1,0,0,1.4680628303816663e+18,replied_to,,,,,,11.0,26.0,Mdy_Asmara1701,1.334853481019056e+18,,,,,,,,,,,,,
1468055961696759810,,"Si ung ditanya 10 th lagi bakal jadi apa..dia cuman pen idup tenang,beneran jadi pelukis kaya raya idup tenang,meanwhile si kook ambisius pen menguasai dunia beneran kerja keras di kantoran😂😂",2021-12-07T03:13:11.000Z,80200857,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468055940591017988,1.3771165479619092e+18,"Aku pribadi sih, berpendapat hal yang sama dengan Harry, at least Gellert sangat respect dan care ke Albus, cuma dia lebih cinta sama tujuannya dia untuk menguasai dunia aja. Plus, sebenarnya juga, banyak banget teori-teori lain yang nunjukin bahwa Gellert tuh bisa jadi juga-",2021-12-07T03:13:06.000Z,1377116547961909250,0,1,5,0,1.4680559382632407e+18,replied_to,,,,,,,,,,,,,,,,,,,,,,
1468049941478010881,1.3771165479619092e+18,"Bahwa cinta pertamanya, ternyata bukanlah orang yang baik yang seperti ini dia bayangkan. Bahwa cinta pertamanya, memilih mengejar Deathly Hallows dan menguasai dunia daripada bersama dengan Albus.",2021-12-07T02:49:15.000Z,1377116547961909250,0,1,4,0,1.4680499385503785e+18,replied_to,,,,,,,,,,,,,,,,,,,,,,
1468047518659670016,,akankah china menguasai dunia,2021-12-07T02:39:38.000Z,1052798514634272768,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468041994815426562,1.314975287294083e+18,@convomf iya tar lg kucing menguasai dunia,2021-12-07T02:17:41.000Z,1091852490109140992,0,0,0,0,1.4680413408312197e+18,replied_to,,,,,,0.0,8.0,convomf,1.314975287294083e+18,,,,,,,,,,,,,
1468039322897027075,1.1535854760889423e+18,"@wibujawa Itu ayam udah dipotong di goreng, telurnya diambil juga untuk dikonsumsi, tapi populasinya gak abis abis, kebayang dah itu ayam kalo gak kita potong populasinya bakal segimana? Lama lama ayam bisa menguasai dunia bro, pikir coba pikir!",2021-12-07T02:07:04.000Z,600801045,0,0,0,0,1.4674477843033252e+18,replied_to,,,,,,0.0,9.0,wibujawa,1.1535854760889423e+18,,,,,,,,,,,,,
1468037048439238657,183217247.0,@budimandjatmiko Demi ambisi kaisar keturunan dewi matahari untuk menguasai dunia.,2021-12-07T01:58:01.000Z,801776978550353920,0,0,0,0,1.4678261260178924e+18,replied_to,,,,,,0.0,16.0,budimandjatmiko,183217247.0,,,,,,,,,,,,,
1468024586872647681,311277522.0,"@kimansu Klo ga dengan tipu daya dan iming iming nanti pengikutnya sedikit om ,soalnya butuh pengikut sebanyak banyaknya utk menguasai dunia 😂",2021-12-07T01:08:30.000Z,1043435253317005312,0,0,2,0,1.4680115705883853e+18,replied_to,,,,,,0.0,8.0,kimansu,311277522.0,,,,,,,,,,,,,
1468019849804726276,1.4639028627405783e+18,"@The_Mafia_Cat @Sunitakiran4 @jawapos Cara anda melihat negara China saya yakin sampean bukan pebisnis. Tapi anda cuma aktivis yg agamis. Lihat lah China, sekarang ini dia menguasai dunia mulai dari tehnologi kebutuhan rumah tangga sampai pesawat tempur maupun kapal induk. Indonesia harus seperti mereka juga.",2021-12-07T00:49:41.000Z,3008860832,0,1,0,0,1.4678562571176878e+18,replied_to,,,,,,29.0,37.0,jawapos,2392460208.0,,,,,,,,,,,,,
1467984512798048257,,"""Menguasai semua jurus dan memahami arti sebenarnya dari semua yang ada di dunia"" (Orochimaru)",2021-12-06T22:29:16.000Z,1350770989,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1467981253899337729,,"""Di dunia ini hanya ada 2 jenis orang, yaitu yg mempunyai kekuatan untuk menguasai dan yg dikuasai."" (Jinsuke ~ gamaran)",2021-12-06T22:16:19.000Z,1544441509,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
